timestamp,frame_idx,infer_ms,total_ms,cpu_percent,mem_rss_mb,gpu_util,gpu_mem_mb
1779130147.328161,0,14.154,27.067,56.2,150.1,10,792
1779130147.4094725,1,10.728,21.050,80.6,150.2,10,793
1779130147.4925978,2,11.021,21.389,82.7,150.2,10,793
1779130147.5744169,3,11.149,21.783,73.6,150.2,4,793
1779130147.6583781,4,11.919,24.509,60.0,150.2,4,794
1779130147.73957,5,11.648,22.252,79.3,150.2,4,793
1779130147.8247185,6,11.130,23.807,67.5,151.4,4,793
1779130147.907045,7,11.371,21.235,70.2,151.4,4,793
1779130147.9970841,8,11.789,22.588,76.2,151.4,4,793
1779130148.0775971,9,11.052,23.225,61.9,151.4,6,793
1779130148.161977,10,10.774,23.334,73.8,151.4,6,793
1779130148.243816,11,10.873,21.459,84.0,151.4,6,793
1779130148.3244798,12,12.283,22.882,87.3,151.4,6,794
1779130148.4066145,13,11.486,21.769,69.6,151.4,6,794
1779130148.4898448,14,10.908,21.447,75.3,151.4,6,794
1779130148.5631425,15,11.404,21.521,70.4,151.4,5,794
1779130148.645677,16,11.087,21.723,80.3,151.4,5,794
1779130148.729211,17,10.616,21.158,68.6,151.4,5,794
1779130148.813373,18,10.892,21.516,80.8,151.4,5,794
1779130148.8948731,19,10.545,20.931,69.6,151.4,5,794
1779130148.9757957,20,11.194,21.908,69.5,151.4,5,794
1779130149.0619717,21,10.877,23.850,74.7,151.4,5,794
1779130149.1440501,22,11.078,22.547,59.3,151.4,5,794
1779130149.2248604,23,11.351,22.040,70.4,151.4,5,794
1779130149.3072925,24,11.231,21.331,82.9,151.4,5,794
1779130149.396593,25,13.747,24.186,71.1,151.4,5,794
1779130149.4927711,26,11.908,24.629,80.6,151.4,5,794
1779130149.5916023,27,11.222,21.614,86.8,151.4,5,794
1779130149.6740813,28,12.805,22.947,67.0,151.4,5,794
1779130149.7552326,29,11.462,22.124,83.8,151.4,5,789
1779130149.8403535,30,11.463,24.184,65.4,151.4,5,789
1779130149.9229546,31,11.442,21.889,64.9,151.4,5,789
1779130149.9990222,32,11.277,21.825,72.5,151.4,5,789
1779130150.0935767,33,11.245,21.973,66.2,151.4,6,789
1779130150.1749856,34,11.251,21.660,67.7,151.4,6,789
1779130150.2579713,35,10.699,21.319,78.8,151.4,6,789
1779130150.3395,36,11.891,22.291,64.8,151.4,6,789
1779130150.4210694,37,11.635,21.855,60.2,151.4,6,789
1779130150.5127783,38,11.063,21.284,77.4,151.4,6,789
1779130150.592359,39,10.805,21.375,64.9,151.4,6,789
1779130150.674783,40,10.865,21.258,62.5,151.4,6,789
1779130150.7567346,41,11.371,22.002,72.8,151.4,6,789
1779130150.8389947,42,11.622,21.977,73.2,151.4,6,789
1779130150.9290664,43,11.199,21.606,69.7,151.4,6,789
1779130151.0127866,44,10.963,20.858,71.6,151.4,6,789
1779130151.0933347,45,10.810,21.285,62.1,151.4,6,789
1779130151.1760285,46,11.250,22.136,62.2,151.4,6,789
1779130151.261049,47,10.454,22.973,72.5,151.4,6,789
1779130151.3425145,48,10.641,21.760,66.0,151.4,6,789
1779130151.4290125,49,11.098,21.707,62.2,151.4,6,789
1779130151.5124433,50,10.780,21.713,86.2,151.4,6,789
1779130151.5942817,51,11.530,22.152,65.6,151.4,7,789
1779130151.6758945,52,12.302,22.909,67.5,151.4,7,789
1779130151.7602036,53,10.573,22.708,86.2,151.4,7,789
1779130151.842932,54,11.926,22.834,72.2,151.4,7,789
1779130151.9241924,55,10.910,21.635,67.5,151.4,7,789
1779130152.0094523,56,10.703,21.282,76.2,151.4,7,789
1779130152.0906107,57,11.672,22.300,70.4,151.4,7,789
1779130152.1757991,58,10.928,25.709,63.0,151.4,7,789
1779130152.2594175,59,11.127,21.900,82.9,151.4,7,789
1779130152.3415055,60,10.796,21.265,70.3,151.4,7,786
1779130152.4230943,61,10.880,21.359,59.0,151.4,7,783
1779130152.5044692,62,11.762,22.197,74.4,151.4,7,783
1779130152.5952296,63,12.590,22.926,72.5,151.4,6,783
1779130152.675155,64,11.762,22.297,66.7,151.4,6,783
1779130152.7576635,65,11.051,21.876,77.9,151.4,6,783
1779130152.8400037,66,11.302,22.018,79.4,151.4,6,783
1779130152.9240494,67,10.510,23.282,63.0,151.4,6,783
1779130153.0063558,68,12.225,22.828,72.8,151.4,6,782
1779130153.0892417,69,11.079,21.351,70.4,151.4,5,782
1779130153.171545,70,12.874,23.710,66.3,151.4,5,782
1779130153.2554786,71,11.798,21.893,69.9,151.4,5,782
1779130153.3396952,72,10.517,22.568,68.8,151.4,5,782
1779130153.4217339,73,10.827,21.426,64.6,151.4,5,782
1779130153.504901,74,12.408,23.088,74.1,151.5,5,782
1779130153.594889,75,11.622,21.940,73.8,151.5,5,781
1779130153.6758757,76,10.949,21.697,73.2,151.5,5,781
1779130153.7599542,77,10.924,23.470,65.0,151.5,5,781
1779130153.8445604,78,10.361,21.065,77.8,151.5,5,781
1779130153.9253528,79,12.629,22.866,76.5,151.5,5,781
1779130154.0065944,80,10.578,21.015,73.8,151.5,5,781
1779130154.089518,81,11.321,21.703,75.3,151.5,7,781
1779130154.1755893,82,10.854,29.412,68.8,151.5,7,781
1779130154.259916,83,11.500,26.154,78.1,151.5,7,781
1779130154.3422873,84,11.288,22.200,76.5,151.5,7,781
1779130154.4243689,85,10.971,21.560,62.5,151.5,7,781
1779130154.5074499,86,11.264,21.367,65.0,151.5,7,781
1779130154.5951664,87,10.596,21.045,72.8,151.5,7,781
1779130154.6756275,88,10.746,21.298,66.0,151.5,7,781
1779130154.7593026,89,11.584,28.076,68.8,151.5,7,781
1779130154.841919,90,11.009,21.535,74.7,151.5,7,781
1779130154.9230707,91,11.522,22.253,63.0,151.5,7,781
1779130155.005718,92,10.883,21.319,72.5,151.5,7,781
1779130155.088574,93,10.411,20.973,81.5,151.5,6,781
1779130155.1727839,94,11.245,21.569,67.0,151.5,6,781
1779130155.2558503,95,11.693,22.658,78.0,151.5,6,781
1779130155.341056,96,10.764,23.388,76.5,151.5,6,781
1779130155.424597,97,10.443,21.845,66.3,151.5,6,781
1779130155.507144,98,11.043,21.755,72.4,151.5,6,781
1779130155.5892835,99,10.844,21.307,81.5,151.5,5,781
1779130155.6730742,100,10.459,21.414,64.6,151.5,5,781
1779130155.7572744,101,11.012,21.454,70.4,151.5,5,781
1779130155.8555148,102,10.601,20.880,74.7,151.5,5,781
1779130155.9393609,103,11.138,24.197,65.1,151.5,5,781
1779130156.0226867,104,11.858,21.722,65.1,151.5,5,781
