timestamp,frame_idx,infer_ms,total_ms,cpu_percent,mem_rss_mb,gpu_util,gpu_mem_mb
1779130750.407702,0,13.937,25.789,24.4,1036.9,3,1019
1779130750.523071,1,13.382,25.772,27.4,1036.9,3,1019
1779130750.621134,2,13.807,25.061,14.4,1036.9,3,1019
1779130750.7234538,3,12.628,24.010,23.3,1036.9,3,1019
1779130750.8401048,4,13.379,23.563,7.3,1036.9,3,1019
1779130750.941225,5,12.652,24.685,14.3,1036.9,3,1019
1779130751.0565686,6,12.531,28.263,10.4,1036.9,3,1019
1779130751.1626642,7,14.778,25.924,24.2,1036.9,3,1019
1779130751.2528095,8,10.682,19.215,25.0,1036.9,3,1019
1779130751.346031,9,11.758,24.217,19.1,1037.0,3,1009
1779130751.4373171,10,12.828,23.962,25.5,1037.0,3,1009
1779130751.5429041,11,14.278,24.346,12.5,1037.0,3,1009
1779130751.637689,12,12.585,25.543,14.6,1037.0,3,1009
1779130751.7403433,13,16.221,26.807,15.8,1037.0,3,1009
1779130751.8450189,14,12.309,23.708,22.0,1037.0,3,1009
1779130751.9521792,15,10.898,27.214,26.4,1037.0,3,1009
1779130752.0612104,16,11.322,22.678,18.6,1037.0,3,1009
1779130752.1650794,17,14.786,25.648,17.1,1037.0,3,1009
1779130752.2589822,18,10.100,24.951,22.6,1037.0,3,1009
1779130752.3589528,19,10.401,18.365,20.4,1037.0,3,1007
1779130752.4713213,20,13.992,26.315,25.0,1037.0,3,1007
1779130752.5781264,21,12.070,22.250,11.0,1037.0,3,1005
1779130752.6794746,22,13.071,24.830,24.4,1037.0,3,1005
1779130752.767775,23,8.736,22.751,17.6,1037.0,3,1005
1779130752.8565593,24,11.567,20.543,11.8,1037.0,3,1005
1779130752.961374,25,12.576,24.325,19.8,1037.0,3,1001
1779130753.0721073,26,11.682,25.039,11.5,1037.0,3,1001
1779130753.1765897,27,11.981,23.707,22.8,1037.0,3,1001
1779130753.284457,28,13.714,25.826,26.1,1037.0,3,1001
1779130753.3800302,29,10.998,26.955,18.6,1037.1,3,1001
1779130753.4578676,30,9.746,19.288,26.6,1037.1,3,1001
1779130753.5681398,31,14.456,25.336,17.6,1037.1,3,1001
1779130753.6647925,32,11.701,22.595,22.2,1037.1,3,1001
1779130753.770849,33,16.397,28.033,16.8,1037.1,3,1001
1779130753.8815868,34,13.969,23.639,14.2,1037.1,3,1001
1779130753.99178,35,10.392,22.143,23.6,1038.1,3,1001
1779130754.1104453,36,14.541,27.261,15.7,1038.1,8,1001
1779130754.2179108,37,16.677,30.643,23.5,1038.1,8,1001
1779130754.2978997,38,9.033,19.567,15.6,1038.1,8,1001
1779130754.4005086,39,20.714,32.521,22.4,1038.1,8,1001
1779130754.5030165,40,12.807,24.613,22.3,1038.1,8,1001
1779130754.5831335,41,8.956,17.027,26.7,1038.1,9,1001
1779130754.67403,42,11.490,22.913,36.0,1038.1,9,1001
1779130754.7754886,43,15.785,25.906,23.6,1038.1,9,1001
1779130754.8716514,44,14.246,26.361,15.0,1038.1,9,1001
1779130754.9745824,45,14.363,24.952,23.2,1038.1,9,1001
1779130755.0887115,46,14.553,28.379,10.4,1038.1,9,1001
1779130755.1893625,47,13.008,23.996,19.2,1038.1,9,1001
1779130755.2940533,48,10.551,21.470,16.5,1038.1,9,998
1779130755.3887858,49,13.799,25.129,28.0,1038.1,9,996
1779130755.4951487,50,12.954,24.466,28.7,1038.1,9,995
1779130755.5995061,51,11.485,23.028,21.2,1038.1,8,995
1779130755.679553,52,10.335,21.699,32.7,1038.1,8,995
1779130755.768194,53,11.308,22.187,32.6,1038.1,8,995
1779130755.8544416,54,10.339,21.350,18.1,1038.1,8,995
1779130755.939048,55,10.877,21.563,30.2,1038.1,8,995
1779130756.0321784,56,18.116,28.900,17.4,1038.1,8,995
1779130756.138657,57,13.838,25.789,8.7,1038.1,10,995
1779130756.237537,58,13.972,27.378,21.6,1038.1,10,995
1779130756.343211,59,11.961,22.963,12.1,1038.1,10,995
1779130756.4470627,60,13.351,24.412,27.6,1038.1,10,995
1779130756.5475264,61,12.528,25.791,13.3,1038.1,8,995
1779130756.6601682,62,11.440,22.843,12.4,1038.1,8,995
1779130756.7706776,63,14.883,26.428,23.8,1038.1,8,995
1779130756.8634102,64,11.284,23.417,18.8,1038.1,8,995
1779130756.961991,65,11.280,21.894,23.2,1038.1,8,995
1779130757.0758047,66,13.323,24.199,18.6,1038.1,9,995
1779130757.1805656,67,12.711,24.406,12.1,1038.1,9,995
1779130757.3130322,68,9.946,20.418,18.2,1038.1,9,995
1779130757.395567,69,8.531,18.875,59.5,1038.1,9,995
1779130757.5021682,70,14.778,25.177,31.1,1038.1,9,995
1779130757.6204906,71,15.854,30.407,11.7,1038.1,17,995
1779130757.715793,72,12.740,25.666,19.1,1038.1,17,995
1779130757.8202116,73,13.981,26.251,15.0,1038.1,17,995
1779130757.930423,74,15.524,24.897,19.4,1038.1,17,995
1779130758.0091524,75,10.402,22.015,23.1,1038.1,17,995
1779130758.096482,76,10.195,21.482,16.0,1038.1,12,995
1779130758.1970046,77,15.301,27.053,18.7,1038.1,12,995
1779130758.2915177,78,11.599,23.266,14.8,1038.1,12,995
