timestamp,frame_idx,infer_ms,total_ms,cpu_percent,mem_rss_mb,gpu_util,gpu_mem_mb
1779133180.281205,0,4.821,14.444,22.5,1037.8,9,1131
1779133180.340811,1,4.178,13.746,18.2,1037.8,9,1131
1779133180.4032693,2,4.967,14.615,13.8,1037.8,9,1131
1779133180.4537766,3,6.782,17.748,31.2,1037.8,9,1131
1779133180.503078,4,6.037,13.394,55.6,1037.8,9,1131
1779133180.5593436,5,4.988,13.513,16.4,1037.8,9,1131
1779133180.6204727,6,7.366,17.903,6.8,1037.8,9,1131
1779133180.6795385,7,5.090,14.524,10.3,1037.8,9,1131
1779133180.7416236,8,7.906,14.895,6.3,1037.8,6,1131
1779133180.7945037,9,6.475,13.300,32.1,1037.8,6,1131
1779133180.8506954,10,5.579,13.410,8.5,1037.8,6,1136
1779133180.917307,11,4.627,15.057,17.3,1037.8,6,1136
1779133180.9699855,12,5.870,15.414,10.1,1037.8,6,1136
1779133181.0296507,13,5.233,12.902,22.9,1037.8,6,1136
1779133181.0860386,14,4.902,13.305,13.6,1037.8,6,1136
1779133181.152768,15,7.336,17.927,13.3,1037.8,6,1136
1779133181.2053316,16,5.242,13.489,16.1,1037.8,5,1136
1779133181.2613363,17,4.998,14.373,21.3,1037.8,5,1136
1779133181.330252,18,6.152,14.202,6.4,1037.9,5,1136
1779133181.4001567,19,11.018,19.840,27.1,1037.9,5,1136
1779133181.4563892,20,9.097,16.730,17.8,1037.9,5,1136
1779133181.5360496,21,4.764,14.482,22.4,1037.9,5,1136
1779133181.5944834,22,8.408,18.500,16.9,1037.9,5,1136
1779133181.6569214,23,9.110,16.923,20.0,1037.9,5,1136
1779133181.7093706,24,6.108,16.395,19.4,1037.9,5,1136
1779133181.7636344,25,8.632,16.548,24.1,1037.9,5,1136
1779133181.8508966,26,7.275,15.973,18.2,1037.9,5,1136
1779133181.908246,27,6.878,15.889,15.6,1037.9,5,1136
1779133181.963334,28,8.035,14.859,26.1,1037.9,5,1133
1779133182.0182042,29,6.375,14.838,7.7,1037.9,5,1133
1779133182.07274,30,8.562,15.423,28.6,1037.9,5,1133
1779133182.1332254,31,8.845,16.161,5.5,1037.9,5,1133
1779133182.186049,32,6.167,14.563,23.2,1037.9,5,1133
1779133182.2307863,33,4.715,9.342,11.4,1037.9,16,1133
1779133182.2781737,34,5.589,14.040,8.9,1037.9,16,1133
1779133182.3335323,35,5.007,12.263,13.2,1037.9,16,1133
1779133182.387011,36,6.707,16.179,34.0,1037.9,16,1133
1779133182.4571886,37,7.474,16.140,32.7,1037.9,16,1133
1779133182.5222518,38,8.218,19.394,26.5,1037.9,16,1133
1779133182.5816243,39,8.252,18.253,30.9,1037.9,16,1133
1779133182.6362562,40,6.461,14.750,38.2,1037.9,16,1133
1779133182.6900918,41,6.215,13.967,38.6,1037.9,16,1133
1779133182.744843,42,6.087,14.383,36.2,1037.9,13,1133
1779133182.795468,43,6.660,15.934,12.5,1037.9,13,1136
1779133182.869294,44,7.770,17.116,21.2,1037.9,13,1136
1779133182.921191,45,6.971,14.014,15.9,1037.9,13,1136
1779133182.9707649,46,8.021,14.465,17.1,1037.9,13,1136
1779133183.0234396,47,8.338,16.932,11.1,1037.9,13,1136
1779133183.0744224,48,6.816,15.639,32.0,1037.9,13,1136
1779133183.1325562,49,6.490,19.026,13.0,1037.9,13,1136
1779133183.1881459,50,7.184,15.927,32.7,1037.9,13,1136
1779133183.2418694,51,6.587,16.256,15.6,1037.9,14,1136
1779133183.3037097,52,8.085,15.898,24.4,1037.9,14,1136
1779133183.356501,53,6.507,13.975,26.0,1037.9,14,1136
1779133183.4110458,54,7.349,16.535,14.0,1037.9,14,1136
1779133183.4624975,55,6.632,14.616,27.5,1037.9,14,1136
1779133183.5149443,56,5.653,14.422,7.4,1037.9,14,1136
1779133183.5914974,57,7.929,16.261,29.3,1037.9,14,1136
1779133183.647561,58,7.948,18.922,14.3,1037.9,14,1136
1779133183.7031953,59,6.481,14.787,11.3,1037.9,14,1136
1779133183.7578251,60,6.553,14.339,16.0,1037.9,7,1136
1779133183.8147364,61,7.538,16.274,20.0,1037.9,7,1136
1779133183.8732858,62,6.434,15.330,21.0,1037.9,7,1136
1779133183.9273984,63,7.022,14.380,6.8,1037.9,7,1136
1779133184.0020807,64,9.005,19.651,20.8,1037.9,7,1136
1779133184.0597887,65,7.177,18.589,16.0,1037.9,7,1136
1779133184.1149256,66,6.332,12.167,17.2,1037.9,7,1136
1779133184.1693556,67,7.422,16.101,26.6,1037.9,7,1136
1779133184.2295172,68,12.804,19.150,32.2,1037.9,12,1136
1779133184.2817888,69,6.781,15.726,14.0,1038.0,12,1136
1779133184.3402662,70,8.416,17.696,25.4,1038.7,12,1136
1779133184.3938928,71,8.376,16.258,10.9,1038.7,12,1136
1779133184.4492705,72,5.964,15.614,27.0,1038.7,12,1136
1779133184.5171225,73,6.124,14.660,8.7,1038.7,12,1136
1779133184.5770996,74,6.863,13.922,17.5,1038.7,12,1136
1779133184.6447258,75,7.339,17.189,12.1,1038.7,12,1136
1779133184.7237246,76,7.947,18.574,9.1,1038.7,12,1136
1779133184.7878146,77,7.645,18.831,28.4,1038.7,12,1136
1779133184.8463528,78,6.890,14.771,21.1,1038.7,12,1136
1779133184.902178,79,6.552,15.351,17.9,1038.7,12,1136
1779133184.9587014,80,5.870,13.466,11.7,1038.7,12,1136
1779133185.0047598,81,5.802,12.607,14.8,1038.7,12,1136
1779133185.0603943,82,5.212,13.775,27.3,1038.7,12,1136
1779133185.107595,83,5.491,13.101,42.9,1038.7,12,1136
1779133185.1652336,84,6.591,14.684,19.6,1038.7,12,1136
1779133185.23251,85,6.604,16.090,9.6,1038.7,9,1136
1779133185.29011,86,6.508,18.881,31.9,1038.7,9,1135
1779133185.3455825,87,6.125,14.556,10.6,1038.7,9,1131
