timestamp,frame_idx,infer_ms,total_ms,cpu_percent,mem_rss_mb,gpu_util,gpu_mem_mb
1779133353.3670404,0,6.048,42.315,27.7,1059.0,9,1117
1779133353.4206991,1,8.765,15.506,28.8,1059.0,9,1119
1779133353.480599,2,4.322,15.231,32.0,1059.0,9,1119
1779133353.5347006,3,4.842,13.563,23.7,1059.0,9,1119
1779133353.5825906,4,6.640,16.190,85.2,1059.0,9,1119
1779133353.6320615,5,5.147,14.423,23.3,1059.0,9,1119
1779133353.6868863,6,6.091,14.906,8.3,1059.0,9,1119
1779133353.7351818,7,4.171,11.757,42.0,1059.0,9,1119
1779133353.7891467,8,6.603,15.385,38.5,1059.0,9,1119
1779133353.8375185,9,6.006,14.604,25.0,1059.0,8,1119
1779133353.8919363,10,6.657,15.384,14.3,1059.0,8,1119
1779133353.9411266,11,4.190,11.952,51.9,1059.0,8,1117
1779133353.9908342,12,6.087,14.787,32.0,1059.0,8,1117
1779133354.0434024,13,5.053,12.282,38.2,1059.0,8,1117
1779133354.0980165,14,4.259,12.933,14.3,1059.0,8,1117
1779133354.1467514,15,4.649,13.291,60.0,1059.0,8,1117
1779133354.2019563,16,6.572,14.054,7.5,1059.0,8,1117
1779133354.249495,17,4.539,11.192,32.4,1059.0,8,1117
1779133354.3006198,18,5.404,14.010,22.7,1059.0,8,1117
1779133354.3528163,19,7.387,13.119,21.3,1059.0,7,1118
1779133354.4135213,20,6.921,14.474,23.5,1059.0,7,1118
1779133354.4650133,21,7.233,14.712,32.4,1059.0,7,1118
1779133354.5223062,22,6.548,15.315,23.5,1059.0,7,1118
1779133354.5706956,23,4.311,12.772,32.1,1059.0,7,1118
1779133354.6195,24,4.386,11.838,23.3,1059.0,7,1118
1779133354.685956,25,5.312,15.086,11.1,1059.0,7,1118
1779133354.7408175,26,4.842,13.576,27.7,1059.0,7,1118
1779133354.7894988,27,4.738,13.255,20.0,1059.0,7,1118
1779133354.8504865,28,4.658,13.320,16.7,1059.0,5,1118
1779133354.9119327,29,4.628,14.111,13.6,1059.0,5,1118
1779133354.964892,30,4.396,12.795,19.4,1059.0,5,1118
1779133355.0253153,31,6.091,13.525,21.8,1059.0,5,1118
1779133355.0737371,32,5.562,15.037,31.1,1059.0,5,1118
1779133355.122169,33,5.628,14.957,17.2,1059.0,5,1118
1779133355.1708965,34,5.430,15.384,29.2,1059.0,5,1118
1779133355.2319243,35,6.148,14.754,39.5,1059.0,5,1118
1779133355.2922556,36,7.026,16.648,35.9,1059.0,5,1118
1779133355.3400786,37,6.045,14.350,23.2,1059.0,8,1118
1779133355.3890185,38,4.625,12.045,29.8,1059.0,8,1118
1779133355.4437046,39,4.618,14.771,50.0,1059.0,8,1118
1779133355.4981189,40,5.064,13.538,23.8,1059.0,8,1118
1779133355.554638,41,6.779,16.378,30.1,1059.0,8,1118
1779133355.6087153,42,7.380,17.128,51.1,1059.0,8,1118
1779133355.662216,43,4.393,14.177,41.2,1059.0,8,1118
1779133355.7097144,44,4.901,13.486,48.3,1059.0,8,1118
1779133355.759455,45,4.985,14.029,36.2,1059.1,8,1118
1779133355.8136954,46,4.769,14.519,40.8,1059.1,8,1112
1779133355.86787,47,6.164,15.805,29.5,1059.1,7,1108
1779133355.9225056,48,5.774,14.244,21.8,1059.1,7,1112
1779133355.9763136,49,6.056,16.354,39.1,1059.1,7,1112
1779133356.0249918,50,5.376,14.359,34.7,1059.1,7,1112
1779133356.0736122,51,4.759,13.332,36.2,1059.1,7,1112
1779133356.1281424,52,5.515,14.184,27.1,1059.1,7,1112
1779133356.177044,53,5.637,14.933,31.9,1059.1,7,1112
1779133356.2489007,54,5.995,14.441,43.5,1059.1,7,1112
1779133356.2976348,55,5.598,14.345,36.2,1059.1,7,1112
1779133356.3603723,56,5.045,12.619,34.6,1059.1,5,1112
1779133356.413602,57,4.408,13.138,30.0,1059.1,5,1112
1779133356.4676626,58,5.270,14.936,18.4,1059.1,5,1112
1779133356.5164194,59,5.316,13.827,30.2,1059.1,5,1112
1779133356.5704038,60,5.744,13.150,47.7,1059.1,5,1112
1779133356.6251488,61,6.131,14.767,25.4,1059.1,5,1112
1779133356.673792,62,4.699,13.070,36.4,1059.1,5,1112
1779133356.7215078,63,5.612,14.183,36.1,1059.1,5,1112
1779133356.7767844,64,6.350,15.489,20.8,1059.1,5,1112
1779133356.826273,65,6.599,14.071,25.5,1059.1,7,1112
1779133356.8858602,66,6.321,14.926,41.0,1059.1,7,1112
1779133356.940758,67,5.137,13.796,34.0,1059.1,7,1112
1779133357.0151052,68,7.061,18.048,50.0,1059.1,7,1112
1779133357.0823076,69,5.703,14.899,37.2,1059.1,7,1112
1779133357.1349154,70,4.870,14.549,50.0,1060.0,7,1112
1779133357.1927168,71,4.902,13.311,34.1,1060.0,7,1112
1779133357.2444868,72,4.227,13.415,31.1,1060.0,7,1112
1779133357.2979817,73,4.682,13.189,22.5,1060.0,7,1112
1779133357.346751,74,6.793,15.603,48.9,1060.0,6,1112
1779133357.3943708,75,5.433,13.969,17.4,1060.0,6,1112
1779133357.445296,76,5.106,14.046,14.0,1060.0,6,1112
1779133357.511431,77,8.745,19.352,5.7,1060.0,6,1112
1779133357.5713959,78,8.531,16.986,10.6,1060.0,6,1112
1779133357.625343,79,6.802,14.120,28.7,1060.0,6,1112
1779133357.6961493,80,6.021,15.393,22.7,1060.0,6,1112
1779133357.759075,81,7.612,17.186,10.7,1060.0,6,1112
1779133357.8216338,82,13.163,20.676,18.3,1060.0,15,1111
1779133357.9086313,83,7.892,18.237,8.8,1060.0,15,1107
1779133357.964767,84,7.396,15.544,22.5,1060.0,15,1107
1779133358.0218914,85,6.552,15.032,20.0,1060.0,15,1107
1779133358.0895853,86,6.921,18.094,16.2,1059.9,15,1107
1779133358.149857,87,8.206,16.856,5.8,1059.9,15,1107
1779133358.225105,88,7.483,19.448,14.0,1059.9,15,1107
1779133358.281291,89,9.072,17.759,11.8,1059.9,15,1107
1779133358.342447,90,6.406,16.227,29.0,1059.9,6,1107
1779133358.3943224,91,7.871,17.616,18.2,1059.9,6,1107
1779133358.443331,92,6.404,13.730,10.3,1059.9,6,1107
1779133358.4936087,93,6.995,15.483,14.0,1059.9,6,1105
1779133358.5461745,94,6.439,16.377,7.1,1059.9,6,1105
1779133358.600933,95,10.220,18.930,35.2,1059.9,6,1105
1779133358.6491573,96,6.712,14.669,20.0,1059.9,6,1105
1779133358.697884,97,7.419,15.941,10.0,1059.9,6,1105
1779133358.7528114,98,6.380,15.227,7.5,1059.9,6,1105
1779133358.8283427,99,11.187,18.530,33.9,1059.9,6,1105
1779133358.886061,100,6.714,15.695,23.4,1059.9,14,1105
1779133358.9497695,101,8.467,18.189,16.7,1059.9,14,1105
1779133359.0066104,102,9.085,21.231,15.4,1059.9,14,1105
1779133359.0621445,103,7.363,15.703,10.0,1059.9,14,1105
1779133359.1177588,104,6.886,15.393,25.0,1059.9,14,1105
1779133359.1735458,105,6.433,15.095,6.3,1059.9,14,1105
1779133359.2401636,106,6.842,15.197,21.7,1059.9,14,1105
1779133359.302862,107,8.287,17.817,14.9,1059.9,14,1105
1779133359.3645978,108,10.025,20.369,26.9,1059.9,11,1105
1779133359.4128137,109,7.306,14.907,33.9,1059.9,11,1105
1779133359.4682572,110,9.071,17.552,14.0,1059.9,11,1105
1779133359.5290315,111,6.760,17.509,23.4,1059.9,11,1105
1779133359.5825984,112,5.943,15.570,8.3,1059.9,11,1105
1779133359.6591287,113,5.126,12.860,24.0,1059.9,11,1105
1779133359.716353,114,5.856,15.848,16.5,1059.9,11,1105
1779133359.7772942,115,10.513,18.898,19.0,1059.9,11,1105
1779133359.832407,116,6.332,13.917,28.9,1059.9,15,1105
1779133359.8925996,117,8.888,17.622,19.0,1059.9,15,1105
1779133359.9457886,118,7.268,15.921,25.9,1059.9,15,1105
1779133359.9945993,119,6.090,14.407,8.2,1059.9,15,1105
1779133360.0652034,120,5.635,13.993,5.3,1059.9,15,1105
1779133360.1218,121,8.049,19.168,16.3,1059.9,15,1105
1779133360.1700442,122,5.997,14.912,6.4,1059.9,15,1105
1779133360.2292304,123,7.480,15.885,21.2,1059.9,15,1105
1779133360.2917829,124,9.718,20.510,16.7,1059.9,15,1105
1779133360.3807309,125,11.790,21.250,9.9,1059.9,9,1105
1779133360.4443436,126,7.392,20.053,28.0,1059.9,9,1105
1779133360.497679,127,8.809,17.531,22.2,1059.9,9,1105
1779133360.552427,128,7.496,15.815,15.0,1059.9,9,1105
1779133360.606678,129,7.295,16.343,16.1,1059.9,9,1105
1779133360.6560502,130,6.695,14.507,25.0,1059.9,9,1105
1779133360.7057707,131,6.954,15.250,19.0,1059.9,9,1105
1779133360.776499,132,6.868,14.811,15.9,1059.9,9,1105
1779133360.8376713,133,7.178,18.746,16.4,1059.9,12,1105
1779133360.890299,134,6.355,16.064,13.0,1059.9,12,1105
1779133360.945823,135,6.378,15.639,16.7,1059.9,12,1104
1779133361.0004733,136,7.408,15.779,11.6,1059.9,12,1104
1779133361.0556195,137,6.723,15.532,26.1,1059.9,12,1104
1779133361.116377,138,8.863,17.729,15.8,1059.9,12,1104
