timestamp,frame_idx,infer_ms,total_ms,cpu_percent,mem_rss_mb,gpu_util,gpu_mem_mb,batch_size
1779134300.2991364,0,5.499,6.741,22.9,1062.6,8,1386,1
1779134300.3300028,1,6.752,8.769,14.0,1062.8,8,1386,1
1779134300.3431332,2,5.467,6.592,27.3,1062.8,8,1386,1
1779134300.3783588,3,6.820,9.099,10.7,1062.8,8,1386,1
1779134300.4280324,4,6.141,8.261,20.4,1062.8,8,1386,1
1779134300.444607,5,7.466,9.033,22.7,1062.8,8,1386,1
1779134300.4703856,6,5.193,6.561,35.0,1062.8,8,1386,1
1779134300.5225375,7,7.215,9.619,18.0,1062.8,8,1386,1
1779134300.5374272,8,5.943,7.476,23.8,1062.8,8,1386,1
1779134300.5699117,9,6.585,8.568,3.1,1062.8,8,1386,1
1779134300.6220522,10,6.965,9.875,11.5,1062.8,8,1386,1
1779134300.637744,11,7.292,9.018,0.0,1062.8,8,1386,1
1779134300.6855311,12,7.498,10.528,4.4,1062.8,8,1386,1
1779134300.7354605,13,8.716,13.074,17.3,1062.8,8,1386,1
1779134300.7492943,14,5.139,6.363,12.5,1062.8,8,1386,1
1779134300.7775035,15,7.364,9.155,11.5,1062.8,8,1386,1
1779134300.820651,16,4.535,5.747,8.1,1062.8,8,1386,1
1779134300.831771,17,4.579,5.957,20.0,1062.8,8,1386,1
1779134300.8747983,18,6.564,8.466,22.2,1062.8,8,1386,1
1779134300.9251053,19,6.745,9.582,12.2,1062.8,9,1381,1
1779134300.9460504,20,10.143,13.360,33.3,1062.8,9,1381,1
1779134300.9911861,21,9.864,12.345,16.7,1062.8,9,1381,1
1779134301.006169,22,6.463,8.297,7.1,1062.8,9,1381,1
1779134301.03528,23,7.238,10.228,15.6,1062.8,9,1381,1
1779134301.0825677,24,5.958,8.291,6.1,1062.8,9,1381,1
1779134301.1336565,25,7.930,11.957,25.6,1062.8,9,1381,1
1779134301.1500883,26,7.311,9.873,0.0,1062.8,9,1381,1
1779134301.180955,27,7.886,10.943,23.5,1062.8,9,1381,1
1779134301.2293248,28,8.246,10.958,8.7,1062.8,9,1381,1
1779134301.2411313,29,5.560,7.186,0.0,1062.8,9,1381,1
1779134301.277281,30,6.728,9.963,0.0,1062.8,9,1381,1
1779134301.2962608,31,9.270,11.116,17.1,1062.8,9,1381,1
1779134301.337828,32,6.587,8.032,16.7,1062.8,9,1381,1
1779134301.38546,33,6.086,8.338,0.0,1062.8,10,1371,1
1779134301.4347985,34,5.673,8.138,11.5,1062.8,10,1371,1
1779134301.4495592,35,5.649,7.130,0.0,1062.8,10,1371,1
1779134301.477927,36,3.831,5.011,13.9,1062.8,10,1371,1
1779134301.5335343,37,6.464,9.155,15.0,1062.8,10,1371,1
